experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,5146,10,0.16931632161140442,0.08130036294460297,0.8413764834403992,0.5,290,0.09228835999965668,0.21841472387313843,0.28193914890289307,0.2703021168708801,0.31574419140815735,-0.14642786979675293,0,60,0.20689654350280762,0,7,c16286f63961237b
baseline,42,5239,1,0.11174801737070084,0.11174801737070084,0.777836263179779,1.0,296,0.06430991739034653,0.14660146832466125,0.21750707924365997,0.2173902988433838,0.25589048862457275,-0.14414247870445251,0,16,0.054054055362939835,0,7,c16286f63961237b
baseline,42,3145,2,0.074612557888031,0.06506700068712234,0.9185404777526855,1.0,298,0.05254685878753662,0.1386151760816574,0.1596294790506363,0.16126659512519836,0.19228701293468475,-0.11767445504665375,0,65,0.21812081336975098,0,7,c16286f63961237b
baseline,42,7256,3,0.13955779373645782,0.05893729254603386,0.7945603132247925,0.6666666865348816,297,0.04710204899311066,0.14930956065654755,0.23630528151988983,0.21616187691688538,0.3138093650341034,-0.17425157129764557,0,15,0.05050504952669144,0,7,c16286f63961237b
shared_e2e,42,6381,7,0.2337387055158615,0.055453941226005554,0.8216148614883423,0.8571429252624512,283,0.09854749590158463,0.22797369956970215,0.29570046067237854,0.2837500274181366,0.3387446999549866,-0.10500599443912506,0,41,0.14487633109092712,0,7,c16286f63961237b
shared_e2e,42,4537,5,0.1061353087425232,0.0577160008251667,0.8028947710990906,0.20000000298023224,293,0.06069023162126541,0.13364148139953613,0.18107740581035614,0.17675378918647766,0.21510332822799683,-0.10896801948547363,0,1,0.0034129691775888205,0,7,c16286f63961237b
shared_e2e,42,9896,1,0.08639904111623764,0.08639904111623764,0.8960079550743103,0.0,299,0.027950892224907875,0.07722087949514389,0.1327085793018341,0.11731407791376114,0.14087249338626862,-0.054473452270030975,0,5,0.016722407191991806,0,7,c16286f63961237b
shared_e2e,42,7223,1,0.14104725420475006,0.14104725420475006,0.9576292634010315,1.0,299,0.031184805557131767,0.06829627603292465,0.12961171567440033,0.12260951846837997,0.13955622911453247,0.0014910250902175903,1,50,0.16722407937049866,0,7,c16286f63961237b
shared_e2e,42,1977,1,0.11001096665859222,0.11001096665859222,0.8624507784843445,0.0,299,0.030819909647107124,0.07919453829526901,0.1123972088098526,0.10726930946111679,0.11882567405700684,-0.008814707398414612,0,26,0.08695652335882187,0,7,c16286f63961237b
shared_e2e,42,5606,3,0.11211147904396057,0.06610346585512161,0.848857581615448,0.6666666865348816,295,0.07728954404592514,0.20450636744499207,0.2613043487071991,0.2519291043281555,0.27429497241973877,-0.1621834933757782,0,45,0.1525423675775528,0,7,c16286f63961237b
shared_e2e,42,8368,2,0.0970628410577774,0.0547027662396431,0.7290512323379517,0.5,298,0.040398962795734406,0.1327192336320877,0.18188926577568054,0.1738108992576599,0.21019794046878815,-0.11313509941101074,0,37,0.12416107207536697,0,7,c16286f63961237b
shared_e2e,42,6852,2,0.15891686081886292,0.12502729892730713,0.8652327060699463,0.5,297,0.04139876365661621,0.11950569599866867,0.18509739637374878,0.17548325657844543,0.22303351759910583,-0.06411665678024292,0,12,0.04040404036641121,0,7,c16286f63961237b
shared_e2e,42,5879,1,0.0647740289568901,0.0647740289568901,0.9697631597518921,0.0,299,0.03588559851050377,0.08803030848503113,0.12187112122774124,0.11928053200244904,0.12890495359897614,-0.06413092464208603,0,18,0.06020066887140274,0,7,c16286f63961237b
shared_e2e,42,3369,1,0.0383542962372303,0.0383542962372303,0.872873067855835,0.0,296,0.05619087815284729,0.1725107729434967,0.2670985162258148,0.25563138723373413,0.30820608139038086,-0.26985177397727966,0,2,0.006756756920367479,0,7,c16286f63961237b
shared_e2e,42,6062,1,0.15454185009002686,0.15454185009002686,0.9182494282722473,1.0,297,0.042576175183057785,0.13502030074596405,0.18711970746517181,0.20640847086906433,0.2982177734375,-0.14367592334747314,0,25,0.08417508006095886,0,7,c16286f63961237b
